Date;Open;High;Low;Close;Adj Close;Volume;Currency
11/14/2018;206.533.997;207.044.998;174.084;181.397.003;181.397.003;2595330000;Etherium
11/15/2018;181.899.002;184.251.007;170.188.995;180.806;180.806;2638410000;Etherium
11/16/2018;180.865.005;181.350.006;173.126.007;175.177.002;175.177.002;2015330000;Etherium
11/17/2018;175.360.001;175.850.998;172.869.003;174.001.007;174.001.007;1832800000;Etherium
11/18/2018;174.175.003;179.151.993;174.175.003;177.067.001;177.067.001;1810920000;Etherium
11/19/2018;177.179.001;177.179.001;147.850.998;149.175.003;149.175.003;2745160000;Etherium
11/20/2018;148.811.005;151.253.006;126.360.001;130.339.005;130.339.005;3134410000;Etherium
11/21/2018;131.141.998;138.889.999;125.758.003;136.701.004;136.701.004;2685930000;Etherium
11/22/2018;136.811.005;137.740.005;126.706.001;126.706.001;126.706.001;1792150000;Etherium
11/23/2018;126.418.999;127.028;119.558.998;123.295.998;123.295.998;1998010000;Etherium
11/24/2018;123.304.001;126.788.002;110.824.997;113.494.003;113.494.003;1800960000;Etherium
11/25/2018;113.125.999;118.880.997;101.769.997;116.449.997;116.449.997;2466750000;Etherium
11/26/2018;116.343.002;118.200.996;104.892.998;108.334.999;108.334.999;2139490000;Etherium
11/27/2018;107.913.002;111.842.003;102.452.003;110.010.002;110.010.002;2320010000;Etherium
11/28/2018;110.197.998;126.047.997;110.197.998;122.438.004;122.438.004;2673470000;Etherium
11/29/2018;12.272.155;123.229.721;115.297.691;117.542.648;117.542.648;2196099151;Etherium
11/30/2018;117.728.096;119.423.767;111.744.965;113.171.417;113.171.417;2020748396;Etherium
12-01-2018;113.397.758;120.841.454;111.619.125;118.635.559;118.635.559;2131475768;Etherium
12-02-2018;11.826.815;12.056.205;116.092.041;116.388.901;116.388.901;1856199149;Etherium
12-03-2018;116.378.761;116.619.064;107.415.657;108.925.018;108.925.018;1772756193;Etherium
12-04-2018;108.803.162;113.142.914;107.402.718;110.214.188;110.214.188;1748116495;Etherium
12-05-2018;110.335.518;11.059.861;102.475.555;102.475.555;102.475.555;1990157607;Etherium
12-06-2018;102.450.592;104.103.493;91.761.055;91.761.055;91.761.055;2310716932;Etherium
12-07-2018;91.649.834;96.089.844;83.469.719;93.294.563;93.294.563;2554304530;Etherium
12-08-2018;9.341.008;97.059.883;86.825.668;92.159.637;92.159.637;1855759401;Etherium
12-09-2018;92.035.431;98.900.032;91.031.281;95.142.059;95.142.059;1875567180;Etherium
12-10-2018;94.992.172;96.257.301;90.654.251;91.685.654;91.685.654;1756437577;Etherium
12-11-2018;91.578.934;92.782.326;87.688.408;88.945.305;88.945.305;1707497898;Etherium
12-12-2018;88.610.703;92.240.555;88.263.557;905.933;905.933;1533050103;Etherium
12/13/2018;90.655.228;91.111.603;85.518.311;86.539.314;86.539.314;1754475622;Etherium
12/14/2018;86.630.356;87.144.943;83.226.479;84.308.296;84.308.296;1651491877;Etherium
12/15/2018;84.279.694;85.342.743;82.829.887;84.440.811;84.440.811;1496176898;Etherium
12/16/2018;84.469.406;87.568.123;84.469.406;852.621;852.621;1565817037;Etherium
12/17/2018;85.382.111;96.805.054;85.382.111;95.133.827;95.133.827;2101453024;Etherium
12/18/2018;9.510.804;101.320.236;92.968.521;101.112.457;101.112.457;2277514076;Etherium
12/19/2018;101.683.846;108.549.057;10.069.146;101.268.578;101.268.578;2456482115;Etherium
12/20/2018;101.090.439;117.170.128;100.639.961;116.216.873;116.216.873;3063842618;Etherium
12/21/2018;115.835.403;119.094.162;107.584.793;109.496.231;109.496.231;2632539990;Etherium
12/22/2018;10.945.594;116.759.499;107.503.166;116.759.499;116.759.499;2338772939;Etherium
12/23/2018;117.273.895;133.075.302;117.273.895;130.765.259;130.765.259;3579715061;Etherium
12/24/2018;130.641.663;157.668.701;130.641.663;140.238.007;140.238.007;4370343387;Etherium
12/25/2018;140.997.589;140.997.589;125.113.289;129.844.345;129.844.345;3298280609;Etherium
12/26/2018;129.888.824;136.677.246;126.292.908;131.865.631;131.865.631;2720469126;Etherium
12/27/2018;131.923.584;132.677.063;115.650.101;116.575.912;116.575.912;2612804378;Etherium
12/28/2018;116.898.201;137.647.018;11.569.313;137.647.018;137.647.018;3130201009;Etherium
12/29/2018;138.468.781;147.034.332;134.570.175;138.018.341;138.018.341;3169029972;Etherium
12/30/2018;137.627.457;140.689.087;13.398.233;139.859.451;139.859.451;2660086834;Etherium
12/31/2018;140.031.067;140.181.152;132.519.394;133.368.256;133.368.256;2358360234;Etherium
01-01-2019;133.418.152;141.397.507;132.650.711;140.819.412;140.819.412;2258709868;Etherium
01-02-2019;141.519.516;156.929.138;140.650.955;155.047.684;155.047.684;3328240369;Etherium
01-03-2019;155.196.045;155.863.052;147.198.364;14.913.501;14.913.501;2676164880;Etherium
01-04-2019;148.912.888;156.878.983;147.907.104;15.458.194;15.458.194;3126192535;Etherium
